'@onyxlorenzoni Falou o criminoso de caixa 2 ', 'negative'
'Exatamente O aumento dos feminicídios RS é resultado dessa negligência com vida e os direitos das gaúchas que não contam com rede de proteção extinta por Sartori e ignorada por Leite #DebatenaBandRS #LulaOlivioPrettoRuas ', 'negative'
'RT @Henriqueptpel O que não é bom pro Rio Grande @onyxlorenzoni é lógica privatista BB e Caixa tiveram lucros mas economia recuou…', 'negative'
'RT @NatashaPSOL 680 mil pessoas morreram Brasil por causa da covid-19 E o Onyx ainda tem coragem de dizer que Bolsonaro atuou bem dura…', 'negative'
'#DebateNaBandRS Argenta fala em reduzir secretarias mas já falou em criar duas novas… coerência zero', 'negative'
'RT @luizmuller O Onix Lorenzoni sempre apoiou o Leite na política de Privatização e Desmonte Agora critica o parceiro privateiro Barbar…', 'negative'
'Vendo o #DebateNaBandRS quando aparece o Heinze única coisa que escuto é “porrrrrnô” Obrigado @medoedeliriobr', 'negative'
'@EdegarPretto @PTpoa Em quase 4 anos governo @EduardoLeite_ não foi implantado qualquer programa social apesar de burras Estado estam cheias graças inflação e da entrega criminosa e antidemocrática patrimônio público que retirou o direito de manifestação da sociedade gaúcha', 'negative'
'RT @FlorbelaEspanc5 Insuportável ouvir o Onyx debate da Band Ele não está fazendo campanha para ele Está fazendo campanha para o Bols…', 'negative'
'O @Heinzeoficial mora em Paris Nada tá dando certo nos modelos que ele defende com @jairbolsonaro e @EduardoLeite_ O Rs tem recorde de desemprego e pessoas com fome O que tá dando certo Pra quem #LulaOlivioEdegarRuas #LulaOlivioPrettoRuas #DebateNaBandRS', 'negative'
'RT @NatashaPSOL Eduardo Leite falou de direitos das mulheres mas parece ter esquecido o ESCÂNDALO em que foi envolvido com exames de CÂNC…', 'negative'
'RT @matheuspggomes Ricardo Jobim NOVO é o representante da direita inimiga meio-ambiente na disputa ao Governo RS Defendeu que a…', 'negative'
'RT @EdegarPretto Vamos rever o acordo que Eduardo Leite fez com Bolsonaro que nos condena o estado uma subordinação completa Nós quere…', 'negative'
'RT @TZTarcisio O @EdegarPretto ponto Leite e Bolsonaro com caneta na mão são mesma coisa Leite Heinze e Onix tem o mesmo proje…', 'negative'
'RT @matheuspggomes Pelo visto o Onyx não sabe absolutamente nada sobre realidade Rio Grande Sul Vai passar eleição toda faland…', 'negative'
'RT @EngZini 14 das nossas escolas públicas estaduais não tem banheiro ou não está funcionando #DebateNaBandRS', 'negative'
'RT @LeonelRadde Onyx Caixa 2 já mentiu umas 200 vezes nesse debate propagando fake news na cara dura Aqui está verdade ', 'negative'
'RT @comuna_bella Eduardo Leite falando que defende mulheres gaúchas engana quem Não esquecemos Ieda Greice e Emanuele que perderam s…', 'negative'
'RT @VieiraPDT #DebateNaBandRS ''Discordo candidato Onyx sobre atuação governo na pandemia Primeiro quero solidarizar com 40 mil…', 'negative'
'RT @VieiraPDT #DebateNaBandRS ''Sou contra privatizações Venderam CEEE Distribuidora por míseros 100 mil reais Agora venderam nossa…', 'negative'
'RT @LeonelRadde Eduardo Leite junto com PSDB e MDB deixaram os professores e professoras 7 anos sem reposição slasrial São 14 de escol…', 'negative'
'RT @EdegarPretto Vamos rever o acordo que Eduardo Leite fez com Bolsonaro que nos condena o estado uma subordinação completa Vamos rec…', 'negative'
'RT @EngZini Os servidores públicos não podem ser tratados como adversários Estado #DebateNaBandRS', 'negative'
'RT @EdegarPretto O projeto de Bolsonaro e Leite é o mesmo principalmente na questão privatista O governador que renunciou disse que não…', 'negative'
'RT @JulianaBrizola Leite vendeu CEEE por R 100 mil e nossa população sente consequências cada vento mais forte Vieira defende o p…', 'negative'
'RT @VieiraPDT #DebateNaBandRS ''Discordo candidato Onyx sobre atuação governo na pandemia Primeiro quero solidarizar com 40 mil…', 'negative'
'RT @PompeodeMattos O #DebateNaBandRS está mais parecendo um fraterno encontro entre neoliberais e filhotes da ditadura – como dizia o Dr…', 'negative'
'RT @onyxlorenzoni O esquerdista Peninha sujeito que exala ódio e prega violência e crimes em um vídeo não representa o Rio Grande Su…', 'negative'
'RT @LeonelRadde Onyx Caixa 2 mentindo na cara dura Dizendo que nunca tivemos tanto emprego e estabilidade econômica Só se na casa de…', 'negative'
'RT @FlorbelaEspanc5 O Eduardo Leite parece aquela meia que perdeu o outro pé e fica olhando pras meias e perguntando “ meu par é vc” Assi…', 'negative'
'RT @H1SaiaDaMatrix Eduardo Leite falando das mulheres sobre violência contra mulheres levantou bola para o Argenta lembrar o que ele…', 'negative'
'RT @DedeLulista O Rio Grande Sul está com os piores índices na Educação o @EdegarPretto foi lá e macetou Nós já governamos o estado…', 'negative'
'RT @EdegarPretto O projeto de Bolsonaro e Leite é o mesmo O governador que renunciou disse que não iria privatizar e entregou CEEE por…', 'negative'
'RT @DedeLulista O Eduardo Leite finge se importar com mulheres Não adianta mentiroso #PalavraDeGaúcho é algo que só Edegar Pretto tem…', 'negative'
'RT @OCaioVenancio Começou cobrança pela falta de palavra de Eduardo Leite PSDB tema das privatizações Tema incontornável nestas e…', 'negative'
'@wilsonmjunior_ @EdegarPretto @LulaOficial @olivio_dutra @tarsogenro @dilmabr @paulopaim 🤮🤮🤮🤮🤮🤮🤮🤮🤮', 'negative'
'RT @DedeLulista O Eduardo Leite finge se importar com mulheres Não adianta mentiroso #PalavraDeGaúcho é algo que só Edegar Pretto tem…', 'negative'
'RT @_TalesPassos Um minuto de silêncio Heinze tá descobrindo baldeação transporte público #DebateNaBandRS', 'negative'
'RT @portomadu muito engraçado ver os candidatos enrolando começo da resposta pra ser evasivo final e não dar tempo de responder #deb…', 'negative'
'RT @lucasgertzm Eduardo Leite é o próprio ditado por fora uma bela viola por dentro um pão bolorento #DebateNaBandRS #LulaOlivioPrettoR…', 'negative'
'RT @DomaineDePaula Leite querer se fazer falando em defesa da mulher mas e os testes por amostragem lá em Pelotas hein #DebateNaBandRS', 'negative'
'RT @sigamariaeunice Muita cara de Pau Leite falar em mulheres Foi o PT que criou Secretaria Especial dos direitos das mulheres e o…', 'negative'
'RT @VieiraPDT #DebateNaBandRS ''Sou contra privatizações Venderam CEEE Distribuidora por míseros 100 mil reais Agora venderam nossa…', 'negative'
